artist,country,birth date,death date,gender,number of artworks
Mathilde Weil,United States,1872,1918,female,6
Sarah Charlesworth,United States,1947,2013,female,6
Sue Coe,United Kingdom,1951,,female,6
Dominique Gonzalez-Foerster,France,1965,,female,6
Dionne Lee,United States,1988,,female,6
Alice Hutchins,United States,1916,2009,female,6
Anna Bella Geiger,Brazil,1933,,female,6
Sheila Levrant de Bretteville,United States,1940,,female,6
Consuelo Kanaga,United States,1894,1978,female,6
Svetlana Alpers,United States,1936,,female,6
Mary Lou Jepsen,United States,1965,,female,6
Michele Gauler,Germany,1973,,female,6
Mamma Andersson,Sweden,1962,,female,6
Loren MacIver,United States,1909,1998,female,6
Margrethe Mather,United States,1885,1952,female,6
Mary Heilmann,United States,1940,,female,6
Farah Al Qasimi,United Arab Emirates,1991,,female,6
Paula Modersohn-Becker,Germany,1876,1907,female,6
Katerina Lanfranco,Canada,1978,,female,6
Paloma Varga Weisz,Germany,1966,,female,6
Xenon Straub,United States,1972,,female,6
SEO (Seo Soo-Kyoung),,1977,,female,6
Irene Rice Pereira,United States,1907,1971,female,6
Kembra Pfahler,United States,1967,,female,6
Barbara Chase-Riboud,United States,1939,,female,6
Shelby Hughes,United States,1981,2014,female,6
Pearl Blauvelt,United States,1893,1987,female,6
Sonja Sekula,Switzerland,1918,1963,female,6
Jo Ractliffe,South Africa,1961,,female,6
Farshid Moussavi,Iran,1965,,female,6
Eve Aschheim,United States,1958,,female,6
Toyen (Marie Čermínová),Czech Republic,1902,1980,female,6
Simone Nieweg,Germany,1962,,female,6
Maria Uhden,Germany,1892,1918,female,6
Chloe Piene,United States,1972,,female,5
Mimi Parent,Canada,1924,2005,female,5
Daniela Rossell,Mexico,1973,,female,5
Lenore Tawney,United States,1907,2007,female,5
Sophie Lissitzky,Germany,1891,1978,female,5
Sonia Lewitzka,Poland,1882,1937,female,5
Joan Banach,United States,1953,,female,5
Every Ocean Hughes,United States,1977,,female,5
Claudia Comte,Switzerland,1983,,female,5
Elizabeth Diller,United States,1954,,female,5
Claudy Jongstra,Netherlands,1963,,female,5
Susannah C. Drake,United States,,,female,5
Elena Guro,Russia,,1913,female,5
Tecla Tofano,Venezuela,1927,1995,female,5
Klara Lidén,Sweden,1979,,female,5
Laura Kurgan,South Africa,1961,,female,5
Ringl + Pit,Germany,,,female,5
Erin Shirreff,Canada,1975,,female,5
Sarah Williams,United States,1974,,female,5
Sibylle Möllering-Kaldewey,Germany,,,female,5
Gundula Schulze-Eldowy,Germany,1954,,female,5
Sage Sohier,United States,1954,,female,5
Mary Potter,United Kingdom,1900,1981,female,5
Sara VanDerBeek,United States,1976,,female,5
Ann Craven,United States,1967,,female,5
Vivian Browne,United States,1929,1993,female,5
Laurel Nakadate,United States,1975,,female,5
Kim Keever,United States,1950,,female,5
Lori Ellison,United States,1958,,female,5
Marian Mahler,United Kingdom,1911,1983,female,5
Katherine Pleydell-Bouverie,,1895,1985,female,5
Katy Grannan,United States,1969,,female,5
Rebecca Warren,United Kingdom,1965,,female,5
Judith Barry,United States,1949,,female,5
Debra Hampton,United States,1971,,female,5
Teresa Moro,Spain,1970,,female,5
Anne Collier,United States,1970,,female,5
Fiona Rae,China,1963,,female,5
Lynn Hershman,United States,1941,,female,5
Yui Kugimiya,Japan,1981,,female,5
Mame-Diarra Niang,France,1982,,female,5
Anya Gallaccio,United Kingdom,1963,,female,5
Anna Blume,Germany,1937,2020,female,5
Kay Sage,United States,1898,1963,female,5
Cornelia Blatter,United States,1960,,female,5
Zarina Hashmi,India,1937,,female,5
Claire Barclay,United Kingdom,1968,,female,5
Gillian Wise,United Kingdom,1936,,female,5
Kerry Tribe,United States,1973,,female,5
Hulleah J. Tsinhnahjinnie,,1954,,female,5
Barbara Norfleet,United States,1926,,female,5
Christina Ramberg,United States,1946,1995,female,5
Minna Citron,United States,1896,1991,female,5
Marilyn Bridges,United States,1948,,female,5
Gladys Nilsson,United States,1940,,female,5
Shirin Neshat,Iran,1957,,female,5
Mary Frank,United States,1933,,female,5
ORLAN (Mirielle Suzanne Francette Porte),France,1947,,female,5
Anna Ticho,Israel,1894,1981,female,5
Mary Miss,United States,1944,,female,5
Natal'ia Nagorskaia,,,,female,5
Ruth Bernhard,United States,1905,2006,female,5
Deborah Fleming Caffery,United States,1948,,female,5
Hito Steyerl,Germany,1966,,female,5
Judy Chicago,United States,1937,,female,5
Marie Losier,France,1972,,female,5
B. Ingrid Olson,United States,1987,,female,5
Flor Garduño,Mexico,1957,,female,5
Augusta von Zitzewitz,Germany,1880,1960,female,5
Anne Chu,United States,1959,2016,female,5
Rivane Neuenschwander,Brazil,1967,,female,5
Edith Dekyndt,Belgium,1960,,female,5
Maria Laet,Brazil,1982,,female,5
Zofia Rydet,Poland,1911,1997,female,5
Nanny Still,Finland,1926,2009,female,5
Sandra Blow,United Kingdom,1925,2006,female,5
Pauline Oliveros,United States,,2016,female,4
Sara Greenberger Rafferty,United States,1978,,female,4
Anne Lacaton,France,1955,,female,4
Sturtevant,United States,1924,2014,female,4
Marie Rosalie (Mitzi) Friedmann-Otten,Austria,1884,1955,female,4
Nell Dorr,United States,1893,1988,female,4
Margaret Calvert,United Kingdom,1936,,female,4
Georgina Starr,United Kingdom,1968,,female,4
Mickalene Thomas,United States,1971,,female,4
Caroline Durieux,United States,1896,1989,female,4
Hannelore Baron,United States,1926,1987,female,4
Maria Kipp,United States,1900,1988,female,4
Dotty Attie,United States,1938,,female,4
Louisa Hutton,United Kingdom,1957,,female,4
Hellen Van Meene,Netherlands,1972,,female,4
Tania Bruguera,Cuba,1968,,female,4
Audrey Flack,United States,,2024,female,4
Raquel Forner,Argentina,1902,1988,female,4
Hilary Lloyd,United Kingdom,1964,,female,4
Sharon Lockhart,United States,1964,,female,4
Eileen Quinlan,United States,1972,,female,4
Josephine Pryde,United Kingdom,1967,,female,4
Jutta Koether,Germany,1958,,female,4
Mary Beale,United Kingdom,1633,1699,female,4
Débora Mesa,Spain,1981,,female,4
Fonna Forman,United States,1968,,female,4
Dyani White Hawk,,1976,,female,4
Sue de Beer,United States,1973,,female,4
Frances Scott,,1750,1817,female,4
April Gornik,United States,1953,,female,4
Gertrude Greene,United States,1904,1956,female,4
Camille Henrot,France,1978,,female,4
Heidi Bucher,Switzerland,1926,1993,female,4
Lotty Rosenfeld,Chile,1943,2020,female,4
Julia Rommel,United States,1980,,female,4
Tabaimo,Japan,1975,,female,4
Zhang Yuan,China,1963,,female,4
Hélène Binet,Switzerland,1959,,female,4
Jan Hashey,United States,1938,,female,4
Linder [Linda Sterling],United Kingdom,1954,,female,4
Edith Heath,United States,1911,2005,female,4
Ethel Sands,United States,1873,1962,female,4
Nancy Hellebrand,United States,1944,,female,4
Jacqueline Yuan Quinn,United States,,,female,4
Sylvia Gosse,United Kingdom,1881,1968,female,4
Marie Laurencin,France,1885,1956,female,4
Dalla Husband,Canada,1899,1945,female,4
Nancy Buchanan,United States,1946,,female,4
Eva Rothschild,Ireland,1971,,female,4
Aenne Biermann,Germany,1893,1933,female,4
Tei Carpenter,United States,1982,,female,4
Justine Kurland,United States,1969,,female,4
Anne Turyn,United States,1954,,female,4
Galina Dmitrievna Chichagova,Russia,,1966,female,4
Dora Gordine,Russia,1895,1991,female,4
Lucienne Day,United Kingdom,1917,2010,female,4
Barbara Kasten,United States,1936,,female,4
Amy O'Neill,United States,1971,,female,4
Sigalit Landau,Israel,1969,,female,4
Senzeni Marasela,South Africa,1977,,female,4
Muriel Cooper,United States,1925,1994,female,4
Monika Sosnowska,Poland,1972,,female,4
Elisabeth Collins,United Kingdom,1904,2000,female,4
Evelyn Gibbs,United Kingdom,1905,1991,female,4
Sharon Johnston,United States,1965,,female,4
Lamia Joreige,Lebanon,1972,,female,4
Alma Lavenson,United States,1897,1989,female,4
Sandra Gamarra,Peru,1972,,female,4
Lin Tianmiao,China,1961,,female,4
Anna Barriball,United Kingdom,1972,,female,4
Margaret Mellis,China,1914,2009,female,4
Iskra Grabulovski,North Macedonia,1936,2008,female,4
Natalia Pinus,Russia,1901,1986,female,4
Margarete (Grete) Heymann Loebenstein Marks,United Kingdom,1899,1990,female,4
Ghisha Koenig,United Kingdom,1921,1993,female,4
Louise Campbell,Denmark,1970,,female,4
Graciela Carnevale,Argentina,1942,,female,4
Eslanda Goode Robeson,United States,1895,1965,female,4
Koo Jeong-a,,1967,,female,4
Lisl Ponger,Austria,,,female,4
Alice Trumbull Mason,United States,1904,1971,female,4
C. & I. Hohenbüchler,Austria,1964,,female,4
Nan González,Venezuela,1956,,female,4
Sheila Metzner,United States,1939,,female,4
Sybil Andrews,United Kingdom,1898,1992,female,4
Tomoko Miho,United States,,2012,female,4
Martirene Alcántara,Mexico,1965,,female,4
Ana Maria Moncalvo,Argentina,1921,2009,female,4
Katharina Grosse,Germany,1961,,female,4
Marisa Merz,Italy,1931,,female,4
Sofia Borges,Brazil,1984,,female,4
Nairy Baghramian,Germany,1971,,female,4
Mika Rottenberg,Israel,1976,,female,4
Amie Siegel,United States,1974,,female,4
Stella Mutegi,Kenya,1979,,female,4
Lorie Novak,United States,1954,,female,4
Regina Silveira,Brazil,1939,,female,4
Jennifer Hackshaw,Venezuela,1948,,female,4
Amelie von Wulffen,Germany,1966,,female,4
Collier Schorr,United States,1963,,female,4
Vivian Cherry,United States,1920,2019,female,4
Simone Shubuck,United States,1969,,female,4
Rebecca Salter,United Kingdom,1955,,female,4
Dana Schutz,United States,1976,,female,4
Amelia Peláez Del Casal,Cuba,1896,1968,female,4
Graziella Urbinati,Italy,1927,,female,4
Lola Álvarez Bravo,Mexico,1907,1993,female,4
Katharina Bosse,Germany,1968,,female,4
Mary Petty,United States,1899,1976,female,4
Sam Moyer,United States,1983,,female,4
Helen Phillips,United States,1913,1995,female,4
Kirstine Roepstorff,Denmark,1972,,female,4
Leona Pierce,United States,1921,2002,female,4
Karen Kilimnik,United States,1955,,female,4
Ulla von Brandenburg,Germany,1974,,female,4
Alyson Shotz,United States,1964,,female,4
Jenny Perlin,United States,1970,,female,4
Simryn Gill,Singapore,1959,,female,4
Katherine Porter,United States,1941,,female,4
Gina Pane,France,1939,1990,female,4
Julia Fish,United States,1950,,female,4
Sarah Jones,United Kingdom,1959,,female,4
Tracy Nakayama,United States,1974,,female,4
Yvonne Droge-Wendel,Germany,1961,,female,4
Patti Smith,United States,1946,,female,4
June Redfern,United Kingdom,1951,,female,4
Annette Messager,France,1943,,female,4
Toba Khedoori,Australia,1964,,female,4
Alexis Smith,United States,,2024,female,4
Candida Höfer,Germany,1944,,female,4
Jeanne Dunning,United States,1960,,female,4
Kim McCarty,United States,1956,,female,4
Sylvia Wald,United States,1915,2011,female,4
Marisa Merz,Italy,1926,2019,female,4
Jane Kaplowitz,United States,1949,,female,4
Eszter Haraszty,United States,1920,1994,female,4
Yvonne Delattre,Switzerland,,,female,4
Ewa Partum,Poland,1945,,female,4
Mabel Rubli,Argentina,1933,,female,4
Rose Finn-Kelcey,United Kingdom,1945,2014,female,4
Andrea Bowers,United States,1965,,female,4
Afra Scarpa,Italy,1937,,female,4
Liz Larner,United States,1960,,female,4
Barbara Jones-Hogu,United States,1938,2017,female,4
Maya Deren,United States,1917,1961,female,4
Carole Seborovski,United States,1960,,female,4
Mary Weatherford,United States,1963,,female,4
Lesley Dill,United States,1949,,female,4
Eva Lipman,United States,1946,,female,4
Miriam Cahn,Switzerland,1949,,female,4
Sable Elyse Smith,United States,1986,,female,4
Kate Whiteford,United Kingdom,1952,,female,4
Cindy van den Bremen,Netherlands,1972,,female,4
Krissy Clegg,,,,female,4
matali crasset,France,1965,,female,4
Jackie Winsor,United States,1941,2024,female,4
Marie Cool,France,1961,,female,4
Angela Bulloch,Canada,1966,,female,4
Dani (Leventhal) ReStack,United States,1972,,female,4
May Stevens,United States,1924,2019,female,4
Linda Connor,United States,1944,,female,4
Raque Ford,United States,1986,,female,4
Lettie A. Allen,,,,female,4
Hermine David,France,1886,1971,female,4
Odette des Garets,France,1891,,female,3
Lubaina Himid,Tanzania,1954,,female,3
Barbara Probst,Germany,1964,,female,3
Valery Gerlovin,Russia,1945,,female,3
Cosima von Bonin,Germany,1962,,female,3
Diamond Stingily,United States,1990,,female,3
Ellen Berkenblit,United States,1958,,female,3
Ivana Keser,Croatia,1967,,female,3
Kathy Prendergast,Ireland,1958,,female,3
Lyn Gardiner,United States,1946,,female,3
Christina Mackie,Canada,1956,,female,3
Mary Ellen Mark,United States,1940,2015,female,3
Anna Ostoya,Poland,1978,,female,3
Rosalind Nashashibi,United Kingdom,1973,,female,3
Christine Sun Kim,United States,1980,,female,3
Suwon Lee,Venezuela,1977,,female,3
Martha Wilson,United States,1947,,female,3
Emma Gismondi Schweinberger,Italy,1934,,female,3
Adi Rosenblum,Israel,1962,,female,3
Janet Cardiff,Canada,1957,,female,3
Daria Martin,,1973,,female,3
Ulli Maier,Germany,1951,,female,3
Norma G. Morgan,United States,,2017,female,3
Susan Te Kahurangi King,New Zealand,1951,,female,3
Sheila Fell,United Kingdom,1931,1979,female,3
Cathy De Monchaux,United Kingdom,1960,,female,3
Lucy Raven,United States,1977,,female,3
Nicola López,United States,1975,,female,3
Shizuko Muller-Yoshikawa,Switzerland,1934,2019,female,3
Patricia Urquiola,Spain,1961,,female,3
Winka Dubbeldam,Netherlands,1966,,female,3
Susan Turcot,Canada,1966,,female,3
Catherine Murphy,United States,1946,,female,3
Donia Nachshen,United Kingdom,,,female,3
Rosemary Simmons,,1932,,female,3
Julie Becker,United States,1972,2016,female,3
Lisa Oppenheim,United States,1975,,female,3
Orly Genger,United States,1979,,female,3
Vaginal Davis,United States,1969,,female,3
Ginny Bishton,United States,1967,,female,3
Dannielle Tegeder,United States,1971,,female,3
Bea Nettles,United States,1946,,female,3
Ada Tolla,Italy,1964,,female,3
Anne Noggle,United States,1922,2005,female,3
Jane Knížák,,,,female,3
Monika Baer,Germany,1964,,female,3
Aurèlia Muñoz,Spain,1926,2011,female,3
Janet Fish,United States,1938,,female,3
Sylvia Sleigh,United Kingdom,1916,2010,female,3
Emily Jacir,United States,1970,,female,3
Federica Fragapane,Italy,1988,,female,3
Joan Semmel,United States,1932,,female,3
Katharina Wulff,Germany,1968,,female,3
Jo Ann Walters,United States,1952,,female,3
Elena del Rivero,Spain,1949,,female,3
Camille Billops,United States,1933,2019,female,3
Babette Mangolte,France,1941,,female,3
Alicia Orlandi,Argentina,1937,,female,3
Pennie Smith,United Kingdom,1949,,female,3
Fayga Ostrower,Brazil,1920,2001,female,3
Mary Kelly,United States,1941,,female,3
Alice Rahon,France,1904,1987,female,3
Vibeke Tandberg,Norway,1967,,female,3
Elizabeth Simonson,United States,1964,,female,3
Marguerite Wildenhain,United States,1896,1985,female,3
Suzanne R. Dworsky,United States,1929,,female,3
Maria Serebriakova,Russia,1965,,female,3
Judy Gelles,United States,1944,2020,female,3
Rachel Selekman,United States,1963,,female,3
Christien Meindertsma,Netherlands,1980,,female,3
Gretchen Bender,United States,1951,2004,female,3
Harmony Hammond,United States,1944,,female,3
Abigail Perlmutter,United States,1950,,female,3
Lara Schnitger,Netherlands,1969,,female,3
Hiroe Saeki,Japan,1978,,female,3
Shirai Akiko,Japan,1935,2001,female,3
Catherine Lee,United States,1950,,female,3
Margaret Hoening French,United States,1906,1998,female,3
Katy Schimert,United States,1963,,female,3
Deirdre Burnett,United Kingdom,1939,,female,3
Clara E. Sipprell,United States,1885,1975,female,3
Trudi Sitterle,United States,1921,2001,female,3
Eija-Liisa Ahtila,Finland,1959,,female,3
Pierrette Bloch,France,1928,,female,3
Janice Guy,United Kingdom,1953,,female,3
Jann Haworth,United States,1942,,female,3
Pitseolak Ashoona,,1904,1983,female,3
Edith Behring,Brazil,1916,1996,female,3
Bertha Trabich,United States,1879,1941,female,3
Anne Poirier,France,1942,,female,3
Ruth Bessoudo Courvoisier,Brazil,1914,2015,female,3
Maybelle Stamper (Mabelle Richardson),United States,1907,1995,female,3
Esphyr Slobodkina,United States,1908,2002,female,3
Joyce Pensato,United States,1941,2019,female,3
Miyako Ishiuchi,Japan,1947,,female,3
Anne W. Brigman,United States,1869,1950,female,3
Ester Partegàs,Spain,1972,,female,3
Hannah Collins,United Kingdom,1956,,female,3
Dinora (Doudtchitsky),Chile,1914,2004,female,3
Toots Zynsky,United States,1951,,female,3
Marie Cosindas,United States,1923,2017,female,3
Rei Naito,Japan,1961,,female,3
Diane Lewis,United States,1951,2017,female,3
Lucia Radochonska,Poland,1948,,female,3
Jennifer Pastor,United States,1966,,female,3
Esther Wood,United States,1921,,female,3
Jane Dickson,United States,1952,,female,3
Marcia Hafif,United States,1929,2018,female,3
Sam Taylor-Wood,United Kingdom,1967,,female,3
Agatha Wojciechowsky,United States,1893,1986,female,3
Olga Costa,Mexico,1913,1993,female,3
Cindy Bernard,United States,1959,,female,3
Marianna Erlikh,,,,female,3
Yolanda Lopez,United States,,2021,female,3
Stanislawa De Karlowska,Poland,1876,1952,female,3
Shannon Ebner,United States,1971,,female,3
Cao Fei,China,1978,,female,3
Lake Verea (Carla Verea Hernández and Francisca Rivero-Lake),Mexico,,,female,3
Toba Tucker,United States,1935,,female,3
Dayanita Singh,India,1961,,female,3
Katherine Cameron,United Kingdom,1874,1965,female,3
The Hon. Dorothy Brett,United Kingdom,1883,1977,female,3
Nadezhda Liubavina,,1892,1947,female,3
Kate Crawford,Australia,1976,,female,3
Jaune Quick-to-See Smith,,1940,2025,female,3
Nancy Rexroth,United States,1946,,female,3
Mindy Faber,,,,female,3
Keiko Tsuno,Japan,1944,,female,3
Wu Tsang,United States,1982,,female,3
Helen Saunders,United Kingdom,1885,1963,female,3
Branda Miller,United States,1952,,female,3
Gloria della Vittoria,Italy,,,female,3
Ardele Lister,Canada,1950,,female,3
Alison Rossiter,United States,1953,,female,3
Dod Procter,United Kingdom,1892,1972,female,3
Mary Cassatt,United States,1844,1926,female,3
Laurence Humier,Belgium,1976,,female,3
Evie Hone,Ireland,1894,1955,female,3
Mariko Mori,Japan,1967,,female,3
Rut Blees Luxemburg,Germany,1967,,female,3
Danièle Nyst,Belgium,1942,1998,female,3
Patricia Johanson,United States,1940,,female,3
Sherrie Rabinowitz,United States,1950,2013,female,3
Aki Inomata,Japan,1983,,female,3
Frida Kahlo,Mexico,1907,1954,female,3
Elaine Summers,United States,1925,2014,female,3
Charmion von Wiegand,United States,1899,1983,female,3
Vera (Vera Neumann),United States,1909,1993,female,3
Maxi Cohen,United States,1949,,female,3
Astrid Sampe,Sweden,1909,2002,female,3
Jenny Roed,Germany,,,female,3
Mary Rogers,United Kingdom,1929,,female,3
Steffani Jemison,United States,1981,,female,3
Gillian Carnegie,United Kingdom,1971,,female,3
Colleen Frances Kenyon,United States,1951,,female,3
Marguerita Mergentime,United States,1894,1941,female,3
Kumi Machida,Japan,1970,,female,3
Hazel Kingsbury,United States,1907,1982,female,3
Jessica Rosenkrantz,United States,1983,,female,3
Esther Bubley,United States,1921,1998,female,3
Vuokko Eskolin,Finland,1930,,female,3
Sandi Fellman,United States,1952,,female,3
Nancy Burson,United States,1948,,female,3
Xaviera Simmons,United States,1974,,female,3
Blythe Bohnen,United States,1940,2022,female,3
Sandi Haber Fifield,United States,1956,,female,3
Pink,United States,,,female,3
Catherine Yarrow,United Kingdom,1904,1990,female,3
Mary Adshead,United Kingdom,1904,1995,female,3
Sofía von Ellrichshausen,Argentina,1976,,female,3
Amy Gartrell,United States,1974,,female,3
Olga Dmitrievna Chichagova,Russia,,1958,female,3
Judy Dater,United States,1941,,female,3
Susana Soares,Portugal,1977,,female,3
Valentina Kulagina-Klutsis,,,,female,3
Evelyn Dunbar,United Kingdom,1906,1960,female,3
Ithell Colquhoun,India,1906,1988,female,3
Jing Liu,China,1980,,female,3
Iman Issa,Egypt,1979,,female,3
Marie-Louise Von Motesiczky,Austria,1906,1996,female,3
Deborah Turbeville,United States,1932,2013,female,3
Ida O'Keeffe,United Kingdom,,,female,3
Judith de Graauw,Netherlands,1976,,female,3
Rosario Hurtado,Spain,1966,,female,3
Lida Moser,United States,1920,2014,female,3
Lisa Ruyter,United States,1968,,female,3
Diamela Eltit,Chile,1949,,female,3
Warja Lavater,Switzerland,1913,2007,female,3
Vera Molnar,France,1924,2023,female,3
Janine Antoni,The Bahamas,1964,,female,3
Alex Prager,United States,1979,,female,3
Barbara Jones,United Kingdom,1912,1978,female,3
Annette Lemieux,United States,1957,,female,3
Yuki Kihara,Japan,1975,,female,3
Elisabeth Hase,Germany,1905,1991,female,3
Lisa Steele,Canada,1947,,female,3
Marcel Moore (Suzanne Malherbe),France,1892,1972,female,3
Valentina Khodasevich,,,,female,3
Remedios Varo,Spain,1908,1963,female,3
Sue Fuller,United States,1914,2006,female,3
Anne Marie Fishbein,United States,1958,,female,3
Kazuyo Sejima,Japan,1956,,female,3
Vera Lisková,Czech Republic,1924,1979,female,3
Nathalie Djurberg,Sweden,1978,,female,3
Cinthia Marcelle,Brazil,1974,,female,3
Janet Leach,United States,1918,1997,female,3
Maria Brunner,Austria,1962,,female,3
Melanie Smith,United Kingdom,1965,,female,3
Paola Ferrario,Italy,1963,,female,3
Bethan Huws,United Kingdom,1961,,female,3
Mariette Lydis,Austria,1890,1970,female,3
Dana Claxton,,1959,,female,3
Alix Mackenzie,,1922,1962,female,3
Louisa Anne Marchioness of Waterford,France,1818,1891,female,3
Jo Ann Callis,United States,1940,,female,3
Bea Maddock,Australia,1934,,female,3
Jac Leirner,Brazil,1961,,female,3
Nasreen Mohamedi,India,1937,1990,female,3
Anicka Yi,United States,1971,,female,3
Ursula von Rydingsvard,United States,1942,,female,3
Anna Atkins,United Kingdom,1799,1871,female,3
Judit Reigl,Hungary,1923,2020,female,3
Helen Marten,United Kingdom,1985,,female,3
Letícia Parente,Brazil,1930,1991,female,3
Clara Tice,United States,1888,1973,female,3
Regina José Galindo,Guatemala,1974,,female,3
Elise (Elise Seeds Armitage),United States,1902,1963,female,3
Johanna Kandl,Austria,1964,,female,3
Beatrice Wood,United States,1893,1998,female,3
Shirley Goldfarb,United States,1925,1980,female,3
Elsa Schmid,United States,1897,1970,female,3
Angèle Etoundi Essamba,Cameroon,1962,,female,3
Sadie Red Wing,,1985,,female,2
Alice Channer,United Kingdom,1977,,female,2
Minerva Cuevas,Mexico,1975,,female,2
Katy Moran,United Kingdom,1975,,female,2
Spartacus Chetwynd,United Kingdom,1973,,female,2
Karla Black,United Kingdom,1972,,female,2
Yael Bartana,Israel,1970,,female,2
Runa Islam,Bangladesh,1970,,female,2
Jaki Irvine,Ireland,1966,,female,2
Fiona Tan,Indonesia,1966,,female,2
Cathy Wilkes,United Kingdom,1966,,female,2
Jane Simpson,United Kingdom,1965,,female,2
Elizabeth Wright,United Kingdom,1964,,female,2
Siobhán Hapaska,United Kingdom,1963,,female,2
Zineb Sedira,France,1963,,female,2
Sonia Boyce,United Kingdom,1962,,female,2
Olga Chernysheva,Russia,1962,,female,2
Emma Kay,United Kingdom,1961,,female,2
Carol Rhodes,United Kingdom,1959,,female,2
Christine Sullivan,United States,1959,,female,2
Valeska Soares,Brazil,1957,,female,2
Svetlana Kopystiansky,Ukraine,1950,,female,2
Judy Clark,United Kingdom,1949,,female,2
Jennifer Durrant,United Kingdom,1942,,female,2
Nil Yalter,Egypt,1938,,female,2
Tess Jaray,Austria,1937,,female,2
Agathe Sorel,Hungary,1935,,female,2
Edwina Leapman,United Kingdom,1934,,female,2
Janet Ledger,United Kingdom,1931,,female,2
Adriana Maraz,Slovenia,1931,,female,2
Dadamaino,Italy,1930,2004,female,2
Brigitte Matschinsky-Denninghof,Germany,1923,,female,2
Magda Cordell,Hungary,1921,2008,female,2
Frances Macdonald,United Kingdom,1914,2002,female,2
Thelma Hulbert,United Kingdom,1913,1995,female,2
Joan Mirea,,1912,,female,2
Keiko Minami,Japan,1911,2004,female,2
Elsie Few,Jamaica,1909,1980,female,2
Helen Lessore,United Kingdom,1907,1994,female,2
Grace Golden,United Kingdom,1904,1993,female,2
Edna Ginesi,United Kingdom,1902,2000,female,2
Eve Kirk,United Kingdom,1900,1969,female,2
Winifred Knights,United Kingdom,1899,1947,female,2
Anne Redpath,United Kingdom,1895,1965,female,2
Dora Carrington,United Kingdom,1893,1932,female,2
Marlow Moss,United Kingdom,1889,1958,female,2
Jessica Dismorr,United Kingdom,1885,1939,female,2
Elsie Marian Henderson,United Kingdom,1880,1967,female,2
Laura Knight,United Kingdom,1877,1970,female,2
Madge Oliver,,1874,1924,female,2
Mabel Nicholson,,1871,1918,female,2
Esther Pissarro,,1870,1951,female,2
Lucy Kemp-Welch,United Kingdom,1869,1958,female,2
Louise Pickard,United Kingdom,1865,1928,female,2
Beatrice Bland,United Kingdom,1864,1951,female,2
Joanna Mary Wells,United Kingdom,1831,1861,female,2
Elizabeth Eleanor Siddal,United Kingdom,1829,1862,female,2
Anne Seymour Damer,United Kingdom,1748,1828,female,2
Angelica Kauffman,Switzerland,1741,1807,female,2
Valerie Parkinson,,,,female,2
Aino Aalto,Finland,1894,1949,female,2
Alice Adams,United States,1930,,female,2
Kathleen Agnoli,United States,1945,,female,2
Gae Aulenti,Italy,1930,2012,female,2
Alice Baber,United States,1928,1982,female,2
Myriam Bat-Yosef,Germany,1931,,female,2
Dora M. Batty,United Kingdom,1900,1966,female,2
Nair Benedicto,Brazil,1940,,female,2
Judith Bernstein,United States,1942,,female,2
Judith Black,United States,1945,,female,2
Jóhanna Boga,,,,female,2
Norah Borges de Torre,Argentina,1901,1998,female,2
Christine Boumeester,Netherlands,1904,1971,female,2
Fionnuala Boyd,United Kingdom,1944,,female,2
Su Braden,United Kingdom,1940,,female,2
Joan Brown,United States,1938,1990,female,2
Colleen Browning,United States,1923,,female,2
Roser Llop Bru,Chile,1923,,female,2
Torun Bülow-Hübe,Sweden,1929,,female,2
Frances Butler,United States,1940,,female,2
Marcelle Cahn,France,1895,1981,female,2
Mary Callery,United States,1903,1977,female,2
Antonia Campi,Italy,1921,,female,2
Marie Carlier,France,1920,1986,female,2
Patricia Jon Carroll,United States,1942,,female,2
Rosemarie Castoro,United States,1939,2015,female,2
Miriam Chiaverini,Brazil,1940,2005,female,2
Chunghi Choo,United States,1938,,female,2
Halina Chrostowska,Poland,1929,1990,female,2
Lee Conklin,United States,1941,,female,2
Gloria Cortella,United States,1929,,female,2
Lily Cushing,United States,1909,1969,female,2
Suzanne van Damme,Belgium,1901,1986,female,2
Emma Lu Davis,United States,1905,1964,female,2
Lynn Davis,United States,1944,,female,2
Regina Maria De Luise,United States,1959,,female,2
Martha Diamond,United States,1944,2024,female,2
Jane Dickerman,United States,,,female,2
Betty Dodson,United States,1929,,female,2
Lynne Drexler,United States,,,female,2
Lette Eisenhauer,United States,1935,,female,2
Karen Eubel,United States,1942,,female,2
Rochelle Feinstein,United States,1947,,female,2
Frances Felten,United States,1905,1976,female,2
Else Fischer-Hansen,Denmark,1905,1996,female,2
Trude Fleischmann,United States,1895,1990,female,2
Sheila Fournier,United Kingdom,1930,2000,female,2
Huguette Franco,France,1944,,female,2
Susan Friedman,United States,1941,,female,2
Emily Fuller,United States,1941,,female,2
Rimma Gerlovina,Russia,1951,,female,2
Betty Hahn,United States,1940,,female,2
Claudia Hart,United States,1955,,female,2
Marcia Herscovitz,United States,1945,,female,2
Fannie Hillsmith,United States,1911,2007,female,2
Dorothy Hood,United States,1918,2000,female,2
Eloise Howard,United States,1889,1985,female,2
Luchita Hurtado,United States,1920,2020,female,2
Reika Iwami,Japan,1927,,female,2
Dora Jung,Finland,1906,1980,female,2
Susan Kaprov,United States,1946,,female,2
Kazuko Miyamoto,Japan,1942,,female,2
Gwen Knight,United States,1913,2005,female,2
Claire Wagner Kosterlitz,United States,1903,1997,female,2
Alena Kučerová,Czech Republic,1935,,female,2
