artist,country,birth date,death date,gender,number of artworks
Prunella Clough,United Kingdom,1919,1999,female,34
Meret Oppenheim,Switzerland,1913,1985,female,34
Paulina Olowska,Poland,1976,,female,34
Lois Long,United States,,2005,female,33
Hannah Wilke,United States,1940,1993,female,33
Anna Maria Maiolino,Brazil,1942,,female,33
Julia Margaret Cameron,United Kingdom,1815,1879,female,32
Elizabeth Peyton,United States,1965,,female,32
Tina Modotti,Italy,1896,1942,female,32
Susan Kare,United States,1954,,female,32
Eleanore Mikus,United States,1927,2017,female,32
Vera Ermolaeva,Russia,1893,1938,female,31
Joan Jonas,United States,1936,,female,31
Nan Goldin,United States,1953,,female,31
Dorothea Tanning,United States,1910,2012,female,31
Cecilia Vicuña,Chile,1948,,female,31
Neri Oxman,United States,1976,,female,31
Tauba Auerbach,United States,1981,,female,31
Agnes Caroline Chamberlayne Johnstone,United Kingdom,1845,1925,female,31
Alison Wilding,United Kingdom,1948,,female,31
Pipilotti Rist,Switzerland,1962,,female,31
Erica Karawina,Germany,1904,2003,female,31
Guerrilla Girls,,,,female,30
Kirsten Hawthorne,United States,1949,,female,30
Anne-Marie Miéville,Switzerland,1945,,female,30
Dorothea Rockburne,United States,1932,,female,30
Eva Hesse,Germany,1936,1970,female,30
Wilhelmina Barns-Graham,United Kingdom,1912,2004,female,30
Nicole Eisenman,United States,1965,,female,29
Steina,,1940,,female,29
Laurie Simmons,United States,1949,,female,29
Edda Renouf,United States,1943,,female,29
Hella Jongerius,Netherlands,1963,,female,29
Zoe Zenghelis,United Kingdom,1937,,female,29
Corita Kent (Sister Mary Corita),United States,1918,1986,female,28
Lisette Model,United States,1901,1983,female,28
Beatrice Trueblood,United Kingdom,1938,,female,28
Gillian Wearing,United Kingdom,1963,,female,28
Jennifer Bartlett,United States,1941,2022,female,28
Lise Anne Couture,Canada,1959,,female,27
Liubov Popova,Russia,1889,1924,female,27
Susan Elizabeth Percy,,1782,1847,female,27
Misch Kohn,United States,1916,2002,female,27
Greer Lankton,United States,1958,1996,female,27
Hanne Darboven,Germany,1941,2009,female,27
Katharina Fritsch,Germany,1956,,female,27
Sanja Ivekovic,Croatia,1949,,female,26
Fernanda Laguna,Argentina,1972,,female,26
Suzanne McClelland,United States,1959,,female,26
Madelon Vriesendorp,Netherlands,1945,,female,26
Zaha Hadid,United Kingdom,1950,2016,female,25
Lygia Clark,Brazil,1920,1988,female,25
Laurie Anderson,United States,1947,,female,25
Dorine van der Klei,Netherlands,1940,,female,25
Carrie Mae Weems,United States,1953,,female,25
Jeanne Moutoussamy-Ashe,United States,1951,,female,25
Valérie Belin,France,1964,,female,25
Ximena Cuevas,Mexico,1963,,female,24
Barbara Morgan,United States,1900,1992,female,24
Trisha Brown,United States,1936,2017,female,24
Faith Ringgold,United States,1930,2024,female,24
Maria Siniakova,Russia,1898,1989,female,24
Susan Sellers,United States,1967,,female,24
Anne Goldthwaite,United States,1869,1944,female,24
Trisha Donnelly,United States,1974,,female,24
Meredith Monk,United States,1942,,female,24
Irene Siegel,United States,1932,,female,24
Cornelia Parker,United Kingdom,1956,,female,23
Marli Ehrman,United States,1904,1982,female,23
Ruth Reeves,United States,1892,1966,female,23
Ursula Schulz-Dornburg,Germany,1938,,female,23
Georgianna Stout,United States,1967,,female,23
Haegue Yang,,1971,,female,23
Lisa Yuskavage,United States,1962,,female,23
Laura Owens,United States,1970,,female,23
Edna Clarke Hall,United Kingdom,1879,1979,female,23
Shahzia Sikander,Pakistan,1969,,female,22
Reiko Sudo,Japan,1953,,female,22
Elizabeth Catlett,United States,1915,2012,female,22
Agnes Denes,United States,1931,,female,22
Gauri Gill,India,1970,,female,22
Helen Beatrix Potter,United Kingdom,1866,1943,female,22
Diana Agrest,United States,1945,,female,22
Tomma Abts,Germany,1967,,female,22
Terry Haass,France,1923,2016,female,22
Mirta Gómez,United States,1953,,female,21
Annabel Jankel,United Kingdom,,,female,21
Karin Székessy,Germany,1939,,female,21
Huma Bhabha,United States,1962,,female,21
Shirazeh Houshiary,Iran,1955,,female,21
Geta Brătescu,Romania,1926,2018,female,21
Laure Albin-Guillot,France,1878,1962,female,21
Marina Adams,United States,1960,,female,21
Sylvia Plimack Mangold,United States,1938,,female,21
Andrea Fraser,United States,1965,,female,21
Tina Barney,United States,1945,,female,20
Francesca Woodman,United States,1958,1981,female,20
Marilyn Nance,United States,1953,,female,20
Isa Genzken,Germany,1948,,female,20
Frances Richards,United Kingdom,1903,1985,female,20
Wanda Gág,United States,1893,1946,female,20
Sandra Blow,Mexico,1990,,female,20
Ellen Phelan,United States,1943,,female,20
Wijnanda Deroo,Netherlands,1955,,female,20
Dora Maar,France,1907,1997,female,20
Huang Wenjing,China,1973,,female,20
Sonia Gechtoff,United States,1926,2018,female,20
Gwen John,United Kingdom,1876,1939,female,20
Ranjani Shettar,India,1977,,female,20
Martine Syms,United States,1988,,female,20
Paula Scher,United States,1948,,female,20
Catherine Yass,United Kingdom,1963,,female,19
Lea Lublin,Argentina,1929,1999,female,19
Lee Lozano,United States,1930,1999,female,19
Rineke Dijkstra,Netherlands,1959,,female,19
Lu Wenyu,China,1966,,female,19
Birgit Skiöld,Sweden,1923,1982,female,19
Graciela Iturbide,Mexico,1942,,female,19
Marianne Brandt,Germany,1893,1983,female,19
Dorothy Dehner,United States,1901,1994,female,19
Alison Saar,United States,1956,,female,19
Sheila Hicks,United States,1934,,female,19
Ida Applebroog,United States,1929,2023,female,19
Nancy Spero,United States,1926,2009,female,18
Lynda Benglis,United States,1941,,female,18
Diane Victor,South Africa,1964,,female,18
Tania Franco Klein,Mexico,1990,,female,18
Hilla Becher,Germany,1934,2015,female,18
Ryoko Aoki,Japan,1973,,female,18
Sara Cwynar,Canada,1985,,female,18
Teresa Margolles,Mexico,1963,,female,18
Tarrah Krajnak,Peru,1979,,female,18
Maggi Hambling,United Kingdom,1945,,female,18
Joyce Treiman,United States,1922,1991,female,17
Gillian Ayres,United Kingdom,1930,,female,17
Marjetica Potrč,,1953,,female,17
Phyllida Barlow,United Kingdom,1944,,female,17
Marguerite Zorach,United States,1887,1968,female,17
Lynne Yamamoto,United States,1961,,female,17
Edwina Sandys,United Kingdom,1938,,female,17
Charlotte Posenenske,Germany,1930,1985,female,16
Sharon Hayes,United States,1970,,female,16
Kerstin Brätsch,Germany,1979,,female,16
Helen Chadwick,United Kingdom,1953,1996,female,16
Suzanne Valadon,France,1865,1938,female,16
Taryn Simon,United States,1975,,female,16
Uta Barth,Germany,1958,,female,16
Lisa Milroy,Canada,1959,,female,16
Trude Petri-Raben,United States,1906,1998,female,16
Alina Szapocznikow,Poland,1926,1973,female,16
Maria Martins,Brazil,1894,1973,female,16
Carmen Herrera,Cuba,1915,2022,female,16
Louise Lemoine,France,1981,,female,16
Nalini Malani,India,1946,,female,16
inri,Japan,1973,,female,16
Paule Vézelay,United Kingdom,1892,1984,female,16
Alice Attie,United States,1950,,female,16
Susan Meiselas,United States,1948,,female,16
Eileen Gray,United Kingdom,1879,1976,female,16
Barbara Bloom,United States,1951,,female,16
Naomi Savage,United States,1927,2005,female,15
Vanessa Bell,United Kingdom,1879,1961,female,15
Germaine Richier,France,1902,1959,female,15
Joan Lyons,United States,1937,,female,15
Reva Urban,United States,1925,1987,female,15
Helene Fesenmaier,United States,1937,2013,female,15
Niki de Saint Phalle,France,1930,2002,female,15
Shirana Shahbazi,Iran,1974,,female,15
Maartje Dros,Netherlands,,,female,15
Nell Blaine,United States,1922,1996,female,15
Wendy Red Star,,1981,,female,15
Sarah Morris,United Kingdom,1967,,female,15
Luisa Zuloaga de Palacios,Venezuela,1923,1990,female,15
Wangechi Mutu,Kenya,1972,,female,15
Hélène Delprat,Germany,1957,,female,15
Helen Mayer Harrison,United States,1929,,female,15
An-My Lê,United States,1960,,female,15
Franziska Krammel,,,,female,14
Lola Flash,United States,1959,,female,14
Chitra Ganesh,United States,1975,,female,14
Saara Hopea,Finland,1925,1984,female,14
Bani Abidi,Pakistan,1971,,female,14
Monica Bonvicini,Italy,1965,,female,14
Hayley Tompkins,United Kingdom,1971,,female,14
Linda McCartney,United States,1941,1998,female,14
Elaine de Kooning,United States,1920,1989,female,14
Howardena Pindell,United States,1943,,female,14
Birgit Jürgenssen,Austria,1949,2003,female,14
Ethel Walker,United Kingdom,1861,1951,female,14
Cristina Iglesias,Spain,1956,,female,13
Charlotte Perriand,France,1903,1999,female,13
Nono Reinhold,Netherlands,1929,,female,13
Andrea Geyer,Germany,1971,,female,13
Kay Rosen,United States,1947,,female,13
Adriana Salazar,Colombia,1983,,female,13
